Date,Province,Commodity,Price
2020-02-01,ACEH,Chili (bird's eye),36800.28833333333
2020-02-01,ACEH,"Chili (bird's eye, green)",37570.69
2020-02-01,ACEH,Chili (red),36125.0
2020-02-01,ACEH,"Chili (red, curly)",36306.138333333336
2020-02-01,BALI,Chili (bird's eye),43786.229999999996
2020-02-01,BALI,"Chili (bird's eye, green)",30117.754999999997
2020-02-01,BALI,"Chili (bird's eye, red)",52987.92
2020-02-01,BALI,Chili (red),59926.932499999995
2020-02-01,BALI,"Chili (red, curly)",54182.87
2020-02-01,BALI,"Chili (red, large)",64535.125
2020-02-01,BANTEN,Chili (bird's eye),52475.575000000004
2020-02-01,BANTEN,"Chili (bird's eye, green)",38244.828
2020-02-01,BANTEN,"Chili (bird's eye, red)",66295.97833333333
2020-02-01,BANTEN,Chili (red),69750.0
2020-02-01,BANTEN,"Chili (red, curly)",62178.16
2020-02-01,BANTEN,"Chili (red, large)",75752.87333333334
2020-02-01,BENGKULU,Chili (bird's eye),41982.759999999995
2020-02-01,BENGKULU,"Chili (bird's eye, green)",38530.1725
2020-02-01,BENGKULU,"Chili (bird's eye, red)",47211.6375
2020-02-01,BENGKULU,Chili (red),41616.380000000005
2020-02-01,BENGKULU,"Chili (red, curly)",44609.19666666666
2020-02-01,BENGKULU,"Chili (red, large)",38150.8625
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,Chili (bird's eye),46982.76
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (bird's eye, green)",35655.175
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (bird's eye, red)",54698.274999999994
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,Chili (red),60754.31
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (red, curly)",49137.93
2020-02-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (red, large)",72370.69
2020-02-01,DKI JAKARTA,Chili (bird's eye),59612.07
2020-02-01,DKI JAKARTA,"Chili (bird's eye, green)",43678.159999999996
2020-02-01,DKI JAKARTA,"Chili (bird's eye, red)",72816.09
2020-02-01,DKI JAKARTA,Chili (red),76853.44666666667
2020-02-01,DKI JAKARTA,"Chili (red, curly)",65833.33333333333
2020-02-01,DKI JAKARTA,"Chili (red, large)",87873.56333333334
2020-02-01,GORONTALO,Chili (bird's eye),49094.82666666666
2020-02-01,GORONTALO,"Chili (bird's eye, green)",39413.79
2020-02-01,GORONTALO,"Chili (bird's eye, red)",50471.263333333336
2020-02-01,GORONTALO,Chili (red),28908.046666666665
2020-02-01,GORONTALO,"Chili (red, curly)",28908.046666666665
2020-02-01,JAMBI,Chili (bird's eye),58325.4325
2020-02-01,JAMBI,"Chili (bird's eye, green)",37719.8275
2020-02-01,JAMBI,"Chili (bird's eye, red)",78931.035
2020-02-01,JAMBI,Chili (red),41327.585
2020-02-01,JAMBI,"Chili (red, curly)",42206.8975
2020-02-01,JAMBI,"Chili (red, large)",41198.275
2020-02-01,JAWA BARAT,Chili (bird's eye),52574.28857142857
2020-02-01,JAWA BARAT,"Chili (bird's eye, green)",34306.28764705882
2020-02-01,JAWA BARAT,"Chili (bird's eye, red)",69549.4661111111
2020-02-01,JAWA BARAT,Chili (red),64442.754
2020-02-01,JAWA BARAT,"Chili (red, curly)",58389.812222222215
2020-02-01,JAWA BARAT,"Chili (red, large)",70622.05888888889
2020-02-01,JAWA TENGAH,Chili (bird's eye),41622.347727272725
2020-02-01,JAWA TENGAH,"Chili (bird's eye, green)",29826.06625
2020-02-01,JAWA TENGAH,"Chili (bird's eye, red)",53636.02416666667
2020-02-01,JAWA TENGAH,Chili (red),52773.28904761905
2020-02-01,JAWA TENGAH,"Chili (red, curly)",48673.163043478264
2020-02-01,JAWA TENGAH,"Chili (red, large)",55838.887083333335
2020-02-01,JAWA TIMUR,Chili (bird's eye),34685.823333333334
2020-02-01,JAWA TIMUR,"Chili (bird's eye, green)",25607.98578947368
2020-02-01,JAWA TIMUR,"Chili (bird's eye, red)",44764.008125
2020-02-01,JAWA TIMUR,Chili (red),56144.252
2020-02-01,JAWA TIMUR,"Chili (red, curly)",52827.58571428571
2020-02-01,JAWA TIMUR,"Chili (red, large)",59195.099473684204
2020-02-01,KALIMANTAN BARAT,Chili (bird's eye),65372.12666666667
2020-02-01,KALIMANTAN BARAT,"Chili (bird's eye, green)",60474.136666666665
2020-02-01,KALIMANTAN BARAT,"Chili (bird's eye, red)",70270.115
2020-02-01,KALIMANTAN BARAT,Chili (red),50979.886666666665
2020-02-01,KALIMANTAN BARAT,"Chili (red, curly)",57047.4175
2020-02-01,KALIMANTAN BARAT,"Chili (red, large)",51232.75833333333
2020-02-01,KALIMANTAN SELATAN,Chili (bird's eye),40910.920000000006
2020-02-01,KALIMANTAN SELATAN,"Chili (bird's eye, green)",30614.943333333333
2020-02-01,KALIMANTAN SELATAN,"Chili (bird's eye, red)",51206.89666666667
2020-02-01,KALIMANTAN SELATAN,Chili (red),40853.45
2020-02-01,KALIMANTAN SELATAN,"Chili (red, curly)",40477.01
2020-02-01,KALIMANTAN SELATAN,"Chili (red, large)",41229.88333333333
2020-02-01,KALIMANTAN TENGAH,Chili (bird's eye),43419.543333333335
2020-02-01,KALIMANTAN TENGAH,"Chili (bird's eye, green)",34633.62
2020-02-01,KALIMANTAN TENGAH,"Chili (bird's eye, red)",58861.6075
